PMID	Abstract
39464080	Castration-resistant prostate cancer (CRPC) progresses despite androgen deprivation therapy, as cancer cells adapt to grow without testosterone, becoming more aggressive and prone to metastasis. CRPC biology complicates the development of effective therapies, posing challenges for patient care. Recent gene-expression and metabolomics studies highlight the Hexosamine Biosynthetic Pathway (HBP) as a critical player, with key components like GNPNAT1 and UAP1 being downregulated in metastatic CRPC. GNPNAT1 knockdown has been shown to increase cell proliferation and metastasis in CRPC cell lines, though the mechanisms remain unclear. To investigate the cellular basis of these CRPC phenotypes, we generated a CRISPR-Cas9 knockout model of GNPNAT1 in 22Rv1 CRPC cells, analyzing its impact on metabolomic, glycoproteomic, and transcriptomic profiles of cells. We hypothesize that HBP inhibition disrupts the cytoskeleton, altering mitotic progression and promoting uncontrolled growth. GNPNAT1 KO cells showed reduced levels of cytoskeletal filaments, such as actin and microtubules, leading to cell structure disorganization and chromosomal mis-segregation. GNPNAT1 inhibition also activated PI3K/AKT signaling, promoting proliferation, and impaired cell adhesion by mislocalizing EphB6, enhancing migration via the RhoA pathway and promoting epithelial-to-mesenchymal transition. These findings suggest that HBP plays a critical role in regulating CRPC cell behavior, and targeting this pathway could provide a novel therapeutic approach.
39463621	Angiosarcoma of the bone is very rare, accounting for less than 1% of all malignant bone tumors. We report our experience with an epithelioid hemangiosarcoma arising in the proximal tibia and a review of the literature. The patient, an 85-year-old male, was referred to our institution because of left knee pain that had persisted for five months, and bone radiolucency was observed in the proximal tibia. A bone and prostate biopsy was performed due to a suspicion of prostate cancer and bone metastasis. The positron emission tomography-computed tomography (PET-CT) showed accumulation in the prostate and proximal tibia, and the prostate-specific antigen (PSA) level was high at 14.11 ng/mL. Therefore, we diagnosed the patient with bone metastasis of prostate cancer and performed curettage and cement filling. However, postoperative pathological diagnosis revealed an epithelioid hemangiosarcoma, and we considered amputation. Two months after curettage, the patient underwent transfemoral amputation because of local recurrence. Eight months after amputation, he died due to multiple metastases. Approximately 20% of cases with epithelioid hemangiosarcoma have multiple metastases at the time of initial diagnosis, and it is sometimes difficult to distinguish from bone metastases of cancer because they may be arranged in foci or on cords. There are few reports of effective adjuvant therapy, and the clinical course can be rapid, so early amputation should be considered.
39462742	For patients with low-volume de novo metastatic hormone-sensitive prostate cancer, addition of an androgen receptor pathway inhibitor and prostate radiotherapy to the standard (SOC) improves survival in comparison to the next most effective strategy (SOC + ARPI). For the subgroup with prior definitive treatment of the primary tumor, long-term outcomes and genomic predictors of response to metastasis-directed therapy suggest that this might be a reasonable option in selected patients.
39459070	Prostate cancer is a disease in which cells in the prostate, a gland in the male reproductive system below the bladder, grow out of control and, among men, it is the second-most frequently diagnosed cancer (other than skin cancer). In recent years, prostate cancer death rate has stabilized and, currently, it is the second-most frequent cause of cancer death in men (after lung cancer). Most deaths occur due to metastasis, as cancer cells from the original tumor establish secondary tumors in distant organs. For a long time, classical cell cultures and animal models have been utilized in basic and applied scientific research, including clinical applications for many diseases, such as prostate cancer, since no better alternatives were available. Although helpful in dissecting cellular mechanisms, these models are poor predictors of physiological behavior mainly because of the lack of appropriate microenvironments. Microfluidics has emerged in the last two decades as a technology that could lead to a paradigm shift in life sciences and, in particular, controlling cancer. Microfluidic systems, such as organ-on-chips, have been assembled to mimic the critical functions of human organs. These microphysiological systems enable the long-term maintenance of cellular co-cultures in vitro to reconstitute in vivo tissue-level microenvironments, bridging the gap between traditional cell cultures and animal models. Several reviews on microfluidics for prostate cancer studies have been published focusing on technology advancement and disease progression. As metastatic castration-resistant prostate cancer remains a clinically challenging late-stage cancer, with no curative treatments, we expanded this review to cover recent microfluidic applications related to prostate cancer research. The review includes discussions of the roles of microfluidics in modeling the human prostate, prostate cancer initiation and development, as well as prostate cancer detection and therapy, highlighting potentially major contributions of microfluidics in the continuous march toward eradicating prostate cancer.
39457657	
39457633	"Metastatic prostate cancer (PCa) presents a significant challenge in oncology due to its high mortality rate and the absence of effective biomarkers for predicting patient outcomes. Building on previous research that highlighted the critical role of the long noncoding RNA (lncRNA) H19 and cell adhesion molecules in promoting tumor progression under hypoxia and estrogen stimulation, this study aimed to assess the potential of these components as prognostic biomarkers for PCa at the biopsy stage.This research utilized immunohistochemistry and droplet digital PCR to analyze formalin-fixed paraffin-embedded (FFPE) biopsies, focusing on specific markers within the H19/cell adhesion molecules pathway.A novel multivariate analysis led to a ""BioScore"", a composite biomarker score to predict disease progression. This score is based on evaluating five key markers: the expression levels of Hypoxia-Inducible Factor 2 Alpha (HIF-2α), endothelial Nitric Oxide Synthase (eNOS), β4 integrin, E-cadherin transcript (CDH1), and lncRNA H19. The criteria for the ""BioScore"" involve identifying three out of these five markers, combining elevated levels of HIF-2α, eNOS, β4 integrin, and CDH1 with reduced H19 expression.This finding suggests the possibility of identifying, at the time of biopsy, PCa patients at higher risk of metastasis based on dysregulation in the H19/cell adhesion molecules circuitry. This study provides a valuable opportunity for early intervention in managing PCa, potentially contributing to personalized treatment strategies."
39457506	Prostate cancer (PCa) is the second most commonly diagnosed cancer in men worldwide, with metastasis, particularly to bone, being the primary cause of mortality. Currently, prognostic markers like PSA levels and Gleason classification are limited in predicting metastasis, emphasizing the need for novel clinical biomarkers. New molecules predicting tumor progression have been identified over time. Some, such as the immune checkpoint inhibitors (ICIs) PD-1/PD-L1, have become valid markers as theranostic tools essential for prognosis and drug target therapy. However, despite the success of ICIs as an anti-cancer therapy for solid tumors, their efficacy in treating bone metastases has mainly proven ineffective, suggesting intrinsic resistance to this therapy in the bone microenvironment. This study explores the potential of immunological intratumoral biomarkers, focusing on placental growth factor (PlGF), Vascular Endothelial Growth Factor Receptor 1 (VEGFR1), and Programmed Cell Death Protein 1 (PD-1), in predicting bone metastasis formation.we analyzed PCa samples from patients with and without metastasis by immunohistochemical analysis.Results revealed that PlGF expression is significantly higher in primary tumors of patients that developed metastasis within five years from the histological diagnosis. Additionally, PlGF expression correlates with increased VEGFR1 and PD-1 levels, as well as the presence of intratumoral M2 macrophages.These findings suggest that PlGF contributes to an immunosuppressive environment, thus favoring tumor progression and metastatic process. Results here highlight the potential of integrating these molecular markers with existing prognostic tools to enhance the accuracy of metastasis prediction in PCa. By identifying patients at risk for metastasis, clinicians can tailor treatment strategies more effectively, potentially improving survival outcomes and quality of life. This study underscores the importance of further research into the role of intratumoral biomarkers in PCa management.
39451650	
39450704	Deleterious germline variants in certain DNA repair genes are risk factors for developing aggressive prostate cancer. The objective was to quantify their prognostic impact after prostate cancer diagnosis.Men with prostate cancer, predominantly of European ancestry, were included from four cohorts with long-term follow-up. Pathogenic or likely pathogenic germline variants in 26 DNA repair genes were assessed in relation to metastasis-free survival in high-risk, localized prostate cancer and to overall survival in metastatic castration-sensitive prostate cancer (mCSPC) and metastatic castration-resistant prostate cancer (mCRPC).Among 3,525 patients initially diagnosed with non-metastatic prostate cancer, 2,594 had high-risk localized prostate cancer, 429 mCSPC, and 502 mCRPC at inclusion. BRCA2 variant carriers did not have worse metastasis-free survival in high-risk localized prostate cancer (hazard ratio [HR] 1.01, 95% confidence interval [CI] 0.69, 1.46) or overall survival in mCSPC (HR 0.46, 95% CI 0.14, 1.45) or mCRPC (HR 0.60, 95% CI 0.31, 1.17) compared to non-carriers of DNA repair variants. Among 868 additional patients with de novo metastatic (M1) prostate cancer, BRCA2 variant carriers tended to have worse overall survival (HR 1.59, 95% CI 1.01, 2.51). BRCA2 prognostic associations were not explained by radiation, PARP inhibitor, or platinum therapy. Results for other genes were limited in precision because variants were less common.Among patients with high-risk or metastatic prostate cancer who were initially diagnosed with and treated for non-metastatic tumors, germline DNA repair variants in BRCA2 do not confer a substantially worse prognosis.
39447880	To assess 5-year oncologic outcomes following primary partial gland cryo-ablation (PPGCA) in intermediate risk prostate cancer.Of 476 men undergoing PPGCA enrolled in our prospective oncologic and functional outcomes study, 313 had MRI concordant intermediate risk prostate cancer with no out-of-field Gleason Grade Group (GGG) ≥2, gross extracapsular extension or extreme apical disease on pre-treatment mpMRI. PSA was monitored every 6 months, and mpMRI at 6-12, 24, 42 and 60 months. Protocol biopsy at 6-12 months and 24 months were discontinued after interim analysis showing low rates of clinically-significant prostate cancer (csPCa) defined as any GGG≥2 disease. Freedom-from-failure (FFF) was defined as no prostate cancer specific mortality, metastatic disease, or whole-gland salvage treatment (WGST) RESULTS: csPCa was detected in 33 (10.5%) subjects. 91 had ≥4.5 years of follow-up data with a mean of 8.9, 3.4, and 2.0 surveillance PSA tests, MRIs, and prostate biopsies; none were lost to follow-up. At 5-years, rates of freedom-from-recurrence of in-field, out-of-field and overall csPCa were 86% (95% CI: 78-96), 85% (95% CI: 63-94), and 70% (95% CI: 57-84). The proportion with freedom-from-failure (FFF) at 5 years was 89% (95% CI: 83-95). None died from prostate cancer, 1 (1%) developed metastasis, 15 (16.5%) underwent WGST, and 15 (16.5%) underwent salvage focal therapy (FT). Only 3 of 91 (3.3%) eligible men were noncompliant with 5-year surveillance protocol.Very encouraging intermediate-term oncological outcomes following PPGCA were observed with very high compliance to a rigorous prospective protocol for identifying recurrent csPCa.
