,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:2001233,BP,GO:2001233,regulation of apoptotic signaling pathway,42/269,396/18888,0.106060606,7.44711051,15.58476361,1.39E-24,5.77E-22,2.42E-22,TP53/BRCA1/THBS1/CTNNB1/AR/FBXW7/MYC/GPX1/PTGS2/IL1B/BID/PARP1/KDM1A/CD44/SOD2/GSTP1/HIF1A/TLR4/PRKCD/TNF/RELA/BMI1/AKT1/MMP9/TGFBR1/CAV1/MMP2/IL10/RB1/BAX/DAB2IP/SNAI1/SERPINE1/IGF1/PMAIP1/SNAI2/NKX3-1/TP63/MUC1/FGFR1/MAL/CLU,42
GO:0071214,BP,GO:0071214,cellular response to abiotic stimulus,38/269,334/18888,0.113772455,7.98860272,15.48903155,2.18E-23,7.65E-21,3.21E-21,TP53/BRCA1/TIMP1/PTEN/MYC/BRCA2/ERCC1/PTGS2/PIK3CA/CASP8/IL1B/NFKB1/CASP3/PARP1/KDM1A/IGF1R/FGF2/MAPK14/MTOR/TLR4/PCNA/PRKCD/MMP9/MMP2/CHEK2/EGFR/BAX/MC1R/BNIP3/SNAI2/MME/HRAS/GATA3/CDKN1A/FBP1/MYD88/CLOCK/MMP1,38
GO:0104004,BP,GO:0104004,cellular response to environmental stimulus,38/269,334/18888,0.113772455,7.98860272,15.48903155,2.18E-23,7.65E-21,3.21E-21,TP53/BRCA1/TIMP1/PTEN/MYC/BRCA2/ERCC1/PTGS2/PIK3CA/CASP8/IL1B/NFKB1/CASP3/PARP1/KDM1A/IGF1R/FGF2/MAPK14/MTOR/TLR4/PCNA/PRKCD/MMP9/MMP2/CHEK2/EGFR/BAX/MC1R/BNIP3/SNAI2/MME/HRAS/GATA3/CDKN1A/FBP1/MYD88/CLOCK/MMP1,38
GO:0140747,BP,GO:0140747,regulation of ncRNA transcription,24/269,97/18888,0.24742268,17.37293527,19.43197396,2.37E-23,7.71E-21,3.23E-21,TP53/AR/MYC/PPARG/VEGFA/FGF2/MYB/HIF1A/STAT3/SMARCA4/MTOR/FOS/TNF/RELA/SMAD3/TGFB1/IL10/FOXA1/EGFR/WT1/MYCN/TWIST1/GATA3/ESR1,24
GO:1902895,BP,GO:1902895,positive regulation of miRNA transcription,20/269,56/18888,0.357142857,25.07700478,21.68840947,2.88E-23,8.73E-21,3.66E-21,TP53/AR/MYC/PPARG/FGF2/MYB/HIF1A/STAT3/SMARCA4/FOS/TNF/RELA/SMAD3/TGFB1/IL10/FOXA1/EGFR/WT1/MYCN/GATA3,20
GO:0051402,BP,GO:0051402,neuron apoptotic process,35/269,292/18888,0.119863014,8.416255029,15.35132149,2.36E-22,6.73E-20,2.82E-20,TP53/CTNNB1/FBXW7/GPX1/CCND1/PIK3CA/CASP8/CASP3/BID/FASLG/PARP1/SOD2/MYB/HIF1A/TNF/RHOA/KRAS/MMP2/IL10/RB1/BAX/KDR/AIFM1/BNIP3/BRAF/HRAS/GATA3/TP63/MSH2/TFAP2A/UCN/UBE2M/MAP2K7/ROCK1/CLU,35
GO:0036293,BP,GO:0036293,response to decreased oxygen levels,36/269,327/18888,0.110091743,7.730159272,14.75631737,1.06E-21,2.83E-19,1.19E-19,TP53/THBS1/COX2/MYC/XRCC1/PTGS2/MAP3K7/PPARG/CASP3/NPEPPS/VEGFA/SOD2/MMP14/MYB/MALAT1/NOTCH1/HIF1A/MTOR/FOS/TNF/AKT1/SMAD3/CAV1/TGFB1/MMP2/CYP1A1/VHL/TWIST1/AIFM1/BNIP3/MIR145/PMAIP1/SOX2/NKX3-1/BNIP3L/PLAU,36
GO:0070482,BP,GO:0070482,response to oxygen levels,37/269,354/18888,0.104519774,7.338920043,14.47144104,1.68E-21,4.26E-19,1.79E-19,TP53/THBS1/COX2/MYC/XRCC1/PTGS2/MAP3K7/PPARG/CASP3/NPEPPS/VEGFA/SOD2/MMP14/MYB/MALAT1/NOTCH1/HIF1A/MTOR/FOS/TNF/AKT1/SMAD3/CAV1/TGFB1/MMP2/CYP1A1/VHL/TWIST1/AIFM1/BNIP3/MIR145/PMAIP1/SOX2/NKX3-1/BNIP3L/CDKN1A/PLAU,37
GO:0051054,BP,GO:0051054,positive regulation of DNA metabolic process,34/269,301/18888,0.112956811,7.931331744,14.57050948,6.73E-21,1.61E-18,6.76E-19,BRCA1/CTNNB1/MYC/XRCC1/ERCC1/IL6/PARP1/IGF1R/ARID1A/FGF2/SMARCA4/SMARCA2/CDK2/PCNA/MAPK1/PRKCD/TNF/AKT1/TGFB1/CBX8/FGFR4/EGFR/WT1/BAX/MEAF6/SMARCE1/HSP90AA1/MLH1/MSH2/NBN/FGFR1/CDKN1A/UCN/MAP2K7,34
GO:0042063,BP,GO:0042063,gliogenesis,36/269,346/18888,0.104046243,7.305670757,14.2288731,7.16E-21,1.63E-18,6.84E-19,TP53/PTEN/CTNNB1/ERBB2/ETV5/IL6/IL1B/SOX11/MMP14/FGF2/MYB/NOTCH1/STAT3/MTOR/TLR4/MAPK1/TNF/RELA/RHOA/KRAS/EZH2/AKT1/TGFB1/ILK/EGFR/RB1/DAB2IP/VIM/CD9/BNIP3/SOX2/HRAS/ID4/MAL/MYD88/CLU,36
GO:0022612,BP,GO:0022612,gland morphogenesis,24/269,125/18888,0.192,13.48139777,16.82854411,1.55E-20,3.36E-18,1.41E-18,AR/FBXW7/HOXB13/VDR/IL6/NFKB1/NOTCH1/TNF/TWSG1/CAV1/TGFB1/MMP2/FOXA1/EGFR/CUL3/BAX/TGFA/SNAI2/NKX3-1/TP63/FGFR1/MED1/ESR1/ID4,24
GO:0009314,BP,GO:0009314,response to radiation,39/269,431/18888,0.090487239,6.353616988,13.5140285,2.28E-20,4.69E-18,1.97E-18,TP53/BRCA1/TIMP1/MYC/BRCA2/GPX1/ERCC1/CCND1/CASP3/PARP1/KDM1A/SOD2/MAPK14/HIF1A/PCNA/PRKCD/FOS/RELA/KRAS/AKT1/MMP9/MMP2/CHEK2/EGFR/TXN/BAX/MC1R/BRAF/SNAI2/MME/HRAS/THBD/GATA3/MSH2/CDKN1A/PER1/MAP2K7/CLOCK/MMP1,39
GO:0001666,BP,GO:0001666,response to hypoxia,34/269,313/18888,0.108626198,7.627255128,14.21087769,2.37E-20,4.69E-18,1.97E-18,TP53/THBS1/COX2/MYC/XRCC1/PTGS2/MAP3K7/PPARG/CASP3/NPEPPS/VEGFA/SOD2/MMP14/MYB/MALAT1/NOTCH1/HIF1A/MTOR/FOS/TNF/SMAD3/CAV1/TGFB1/MMP2/CYP1A1/VHL/TWIST1/AIFM1/BNIP3/MIR145/PMAIP1/NKX3-1/BNIP3L/PLAU,34
GO:0033002,BP,GO:0033002,muscle cell proliferation,31/269,251/18888,0.123505976,8.672047868,14.70752571,2.79E-20,5.30E-18,2.22E-18,THBS1/PTEN/CTNNB1/IL6/PTGS2/MAP3K7/PIK3CA/PPARG/SOD2/IGF1R/FGF2/MYB/NOTCH1/MAPK14/TLR4/FOS/TNF/AKT1/MMP9/TGFBR1/TGFB1/MMP2/IL10/EGFR/IGF1/MIR145/PIM1/STAT1/FGFR1/CDKN1A/MYD88,31
GO:0098781,BP,GO:0098781,ncRNA transcription,25/269,146/18888,0.171232877,12.02322147,16.07150132,4.56E-20,8.30E-18,3.48E-18,TP53/AR/MYC/PPARG/VEGFA/FGF2/MYB/HIF1A/STAT3/SMARCA4/ELL2/MTOR/FOS/TNF/RELA/SMAD3/TGFB1/IL10/FOXA1/EGFR/WT1/MYCN/TWIST1/GATA3/ESR1,25
GO:0048145,BP,GO:0048145,regulation of fibroblast proliferation,21/269,90/18888,0.233333333,16.38364312,17.58344967,5.41E-20,9.48E-18,3.98E-18,TP53/CTNNB1/MYC/CDK4/SOD2/GSTP1/MYB/S100A6/BMI1/LZTS2/CAV1/EGFR/FN1/BAX/DAB2IP/IGF1/SPHK1/HRAS/PAWR/CDKN1A/ESR1,21
GO:0051347,BP,GO:0051347,positive regulation of transferase activity,36/269,376/18888,0.095744681,6.722771494,13.47265259,1.16E-19,1.95E-17,8.18E-18,THBS1/PTEN/ERBB2/FBXW7/MYC/CCND1/MAP3K7/ALK/IL1B/VEGFA/IGF1R/FGF2/TENM1/TLR4/PCNA/MAPK1/PRKCD/TNF/RHOA/BMI1/EZH2/AKT1/PTK2/FGFR4/EGFR/TXN/DAB2IP/KDR/IGF1/HSP90AA1/HRAS/NBN/FGFR1/CDKN1A/MST1R/MAP2K7,36
GO:0043523,BP,GO:0043523,regulation of neuron apoptotic process,30/269,244/18888,0.12295082,8.633067219,14.42460426,1.34E-19,2.18E-17,9.13E-18,TP53/CTNNB1/FBXW7/CCND1/PIK3CA/CASP8/CASP3/FASLG/PARP1/SOD2/MYB/HIF1A/TNF/RHOA/KRAS/MMP2/IL10/BAX/KDR/AIFM1/BRAF/HRAS/GATA3/MSH2/TFAP2A/UCN/UBE2M/MAP2K7/ROCK1/CLU,30
GO:0009411,BP,GO:0009411,response to UV,25/269,154/18888,0.162337662,11.39863854,15.57403114,1.76E-19,2.77E-17,1.16E-17,TP53/TIMP1/MYC/BRCA2/GPX1/ERCC1/CCND1/CASP3/PARP1/KDM1A/MAPK14/PCNA/PRKCD/RELA/AKT1/MMP9/MMP2/EGFR/BAX/MC1R/MME/MSH2/CDKN1A/MAP2K7/MMP1,25
GO:0048144,BP,GO:0048144,fibroblast proliferation,22/269,110/18888,0.2,14.04312268,16.49045765,2.51E-19,3.82E-17,1.60E-17,TP53/CTNNB1/MYC/GPX1/CDK4/SOD2/GSTP1/MYB/S100A6/BMI1/LZTS2/CAV1/EGFR/FN1/BAX/DAB2IP/IGF1/SPHK1/HRAS/PAWR/CDKN1A/ESR1,22
GO:0030522,BP,GO:0030522,intracellular receptor signaling pathway,35/269,369/18888,0.094850949,6.66001753,13.19780319,5.24E-19,7.70E-17,3.23E-17,BRCA1/AR/VDR/MAP3K7/PPARG/PARP1/KDM1A/ARID1A/NCOA1/STAT3/SMARCA4/TLR4/HDAC6/MAPK1/TNF/RELA/RHOA/EZH2/AKT1/ALOX15B/CAV1/FOXA1/TWIST1/SNAI2/PIM1/NKX3-1/AKR1C3/TP63/NFKBIA/MED1/PER1/ESR1/ESR2/MYD88/CLOCK,35
GO:0062197,BP,GO:0062197,cellular response to chemical stress,32/269,311/18888,0.102893891,7.224757647,13.30436973,1.69E-18,2.41E-16,1.01E-16,TP53/ETV5/GPX1/IL6/PTGS2/PIK3CA/CASP3/PARP1/SOD2/MYB/HIF1A/MTOR/HDAC6/PCNA/MAPK1/PRKCD/FOS/RELA/EZH2/AKT1/MMP9/CAV1/MMP2/CBX8/EGFR/TXN/SPHK1/AIFM1/BNIP3/PAWR/FBP1/CAMKK2,32
GO:0048660,BP,GO:0048660,regulation of smooth muscle cell proliferation,25/269,174/18888,0.143678161,10.0884502,14.47640076,3.72E-18,5.14E-16,2.16E-16,THBS1/PTEN/CTNNB1/IL6/PTGS2/MAP3K7/PIK3CA/PPARG/SOD2/IGF1R/FGF2/MYB/TLR4/TNF/AKT1/MMP9/TGFB1/MMP2/IL10/EGFR/IGF1/MIR145/STAT1/CDKN1A/MYD88,25
GO:0032496,BP,GO:0032496,response to lipopolysaccharide,33/269,348/18888,0.094827586,6.658377131,12.80578191,5.77E-18,7.73E-16,3.24E-16,IL6/PTGS2/CDK4/EDNRB/CASP8/IL1B/NFKB1/CASP3/FASLG/SOD2/GSTP1/NOTCH1/MAPK14/TLR4/MAPK1/FOS/TNF/RELA/RHOA/AKT1/MMP9/CYP1A1/IL10/GIT1/DAB2IP/SERPINE1/PCSK1/VIM/THBD/CD274/NFKBIA/MAP2K7/MYD88,33
GO:0048659,BP,GO:0048659,smooth muscle cell proliferation,25/269,178/18888,0.140449438,9.861743453,14.27814324,6.52E-18,8.49E-16,3.56E-16,THBS1/PTEN/CTNNB1/IL6/PTGS2/MAP3K7/PIK3CA/PPARG/SOD2/IGF1R/FGF2/MYB/TLR4/TNF/AKT1/MMP9/TGFB1/MMP2/IL10/EGFR/IGF1/MIR145/STAT1/CDKN1A/MYD88,25
GO:0033674,BP,GO:0033674,positive regulation of kinase activity,31/269,303/18888,0.102310231,7.183775627,13.0428713,7.07E-18,8.94E-16,3.75E-16,THBS1/ERBB2/FBXW7/CCND1/MAP3K7/ALK/IL1B/VEGFA/IGF1R/FGF2/TENM1/TLR4/PRKCD/TNF/RHOA/EZH2/AKT1/PTK2/FGFR4/EGFR/TXN/DAB2IP/KDR/IGF1/HSP90AA1/HRAS/NBN/FGFR1/CDKN1A/MST1R/MAP2K7,31
GO:0010720,BP,GO:0010720,positive regulation of cell development,37/269,454/18888,0.081497797,5.722417831,12.24227128,7.66E-18,9.44E-16,3.96E-16,CTNNB1/AURKA/ETV5/IL6/CASP8/IL1B/KDM1A/SOX11/VEGFA/MMP14/ARID1A/FGF2/MYB/NOTCH1/HIF1A/SMARCA4/SMARCA2/MTOR/HDAC6/FOS/TNF/RELA/RHOA/KRAS/TGFB1/IL10/EGFR/BRD2/BRD4/FN1/RB1/SMARCE1/MIR145/BRAF/MME/GATA3/ID4,37
GO:0032355,BP,GO:0032355,response to estradiol,21/269,115/18888,0.182608696,12.82198157,15.28452028,1.22E-17,1.47E-15,6.14E-16,CTNNB1/GPX1/PTGS2/CASP8/CASP3/IGF1R/NCOA1/NCOA3/STAT3/PCNA/EZH2/TGFB1/MMP2/IL10/FOXA1/EGFR/AIFM1/UCN/ESR1/ESR2/CYP19A1,21
GO:0000302,BP,GO:0000302,response to reactive oxygen species,26/269,203/18888,0.128078818,8.993132749,13.76251951,1.44E-17,1.68E-15,7.06E-16,GPX1/IL6/CASP3/SOD2/GSTP1/MYB/HIF1A/HDAC6/PCNA/MAPK1/PRKCD/FOS/RELA/EZH2/AKT1/MMP9/MMP2/CBX8/EGFR/TXN/SPHK1/AIFM1/BNIP3/STAT1/PAWR/CAMKK2,26
GO:2001234,BP,GO:2001234,negative regulation of apoptotic signaling pathway,28/269,244/18888,0.114754098,8.057529405,13.33698051,1.48E-17,1.69E-15,7.07E-16,BRCA1/THBS1/CTNNB1/AR/GPX1/PTGS2/IL1B/BID/KDM1A/CD44/SOD2/GSTP1/HIF1A/TNF/RELA/BMI1/AKT1/MMP9/TGFBR1/IL10/RB1/BAX/SNAI1/SERPINE1/IGF1/SNAI2/MUC1/CLU,28
GO:0043434,BP,GO:0043434,response to peptide hormone,36/269,438/18888,0.082191781,5.771146305,12.14342119,1.69E-17,1.88E-15,7.87E-16,SRD5A2/TIMP1/PTGS2/MAP3K7/EDNRB/PIK3CA/IL1B/NFKB1/PPARG/PARP1/IGF1R/NCOA1/MAPK14/STAT3/MTOR/MAPK1/PRKCD/FOS/RELA/AKT1/SMAD3/CAV1/PTK2/IL10/BSG/RB1/PCSK1/IRS1/MIR145/BRAF/HRAS/STAT1/CRHR2/FBP1/ROCK1/IGF2,36
GO:0002237,BP,GO:0002237,response to molecule of bacterial origin,33/269,369/18888,0.089430894,6.279445099,12.31039957,3.37E-17,3.66E-15,1.53E-15,IL6/PTGS2/CDK4/EDNRB/CASP8/IL1B/NFKB1/CASP3/FASLG/SOD2/GSTP1/NOTCH1/MAPK14/TLR4/MAPK1/FOS/TNF/RELA/RHOA/AKT1/MMP9/CYP1A1/IL10/GIT1/DAB2IP/SERPINE1/PCSK1/VIM/THBD/CD274/NFKBIA/MAP2K7/MYD88,33
GO:0009416,BP,GO:0009416,response to light stimulus,31/269,321/18888,0.096573209,6.780947087,12.5562541,3.71E-17,3.93E-15,1.65E-15,TP53/TIMP1/MYC/BRCA2/GPX1/ERCC1/CCND1/CASP3/PARP1/KDM1A/MAPK14/HIF1A/PCNA/PRKCD/FOS/RELA/KRAS/AKT1/MMP9/MMP2/EGFR/BAX/MC1R/BRAF/MME/MSH2/CDKN1A/PER1/MAP2K7/CLOCK/MMP1,31
GO:0043491,BP,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,30/269,299/18888,0.100334448,7.045044821,12.6644566,4.28E-17,4.43E-15,1.86E-15,THBS1/PTEN/ERBB2/GPX1/PIK3CA/IGF1R/FGF2/STAT3/MTOR/TNF/AKT1/TGFBR1/TGFB1/PTK2/ILK/EGFR/FN1/TXN/DAB2IP/KDR/IRS1/IGF1/TWIST1/MIR145/NKX3-1/AKR1C3/GATA3/FGFR1/MST1R/IGF2,30
GO:0006979,BP,GO:0006979,response to oxidative stress,34/269,398/18888,0.085427136,5.998318731,12.11369072,4.40E-17,4.46E-15,1.87E-15,TP53/ETV5/GPX1/XRCC1/ERCC1/IL6/PTGS2/CASP3/PARP1/SOD2/MMP14/GSTP1/MYB/HIF1A/HDAC6/PCNA/MAPK1/PRKCD/FOS/RELA/EZH2/AKT1/MMP9/MMP2/CBX8/EGFR/TXN/SPHK1/AIFM1/BNIP3/STAT1/PAWR/UCN/CAMKK2,34
GO:1901654,BP,GO:1901654,response to ketone,26/269,217/18888,0.119815668,8.412930636,13.20126253,7.66E-17,7.58E-15,3.18E-15,SRD5A2/THBS1/AR/HSD3B1/HOXB13/CDK4/PIK3CA/PARP1/IGF1R/NCOA1/HDAC6/PCNA/FOS/RELA/AKT1/CAV1/TGFB1/SLC39A9/EGFR/A2M/HSD3B2/AIFM1/NKX3-1/AKR1C3/CDKN1A/FBP1,26
GO:0010001,BP,GO:0010001,glial cell differentiation,28/269,260/18888,0.107692308,7.561681441,12.80554763,7.95E-17,7.71E-15,3.23E-15,PTEN/CTNNB1/ERBB2/IL6/IL1B/SOX11/FGF2/NOTCH1/STAT3/MTOR/TLR4/MAPK1/TNF/RELA/RHOA/KRAS/AKT1/TGFB1/ILK/EGFR/VIM/BNIP3/SOX2/HRAS/ID4/MAL/MYD88/CLU,28
GO:0048608,BP,GO:0048608,reproductive structure development,30/269,307/18888,0.09771987,6.861460591,12.44571781,8.90E-17,8.45E-15,3.54E-15,SRD5A2/CTNNB1/AR/HOXB13/BRCA2/ERCC1/CASP3/VEGFA/MMP14/NCOA1/NOTCH1/ALOX15B/TGFBR1/MMP2/FOXA1/A2M/WT1/BAX/KDR/SGPL1/NKX3-1/AKR1C3/GATA3/TP63/MSH2/ZFX/LGR4/ESR1/ID4/CYP19A1,30
GO:0050679,BP,GO:0050679,positive regulation of epithelial cell proliferation,26/269,219/18888,0.118721461,8.336100219,13.12520935,9.62E-17,8.95E-15,3.75E-15,CTNNB1/ERBB2/AR/MYC/CCND1/SOX11/VEGFA/FGF2/NOTCH1/HIF1A/STAT3/HDAC6/TNF/AKT1/TGFBR1/IL10/EGFR/TGFA/KDR/IGF1/TWIST1/HRAS/TP63/FGFR1/MED1/IGF2,26
GO:0061458,BP,GO:0061458,reproductive system development,30/269,311/18888,0.096463023,6.773210294,12.33926341,1.27E-16,1.16E-14,4.87E-15,SRD5A2/CTNNB1/AR/HOXB13/BRCA2/ERCC1/CASP3/VEGFA/MMP14/NCOA1/NOTCH1/ALOX15B/TGFBR1/MMP2/FOXA1/A2M/WT1/BAX/KDR/SGPL1/NKX3-1/AKR1C3/GATA3/TP63/MSH2/ZFX/LGR4/ESR1/ID4/CYP19A1,30
GO:0022407,BP,GO:0022407,regulation of cell-cell adhesion,37/269,496/18888,0.074596774,5.237858256,11.49614519,1.38E-16,1.23E-14,5.16E-15,ERBB2/ALOX12/IL6/PIK3CA/IL1B/CASP3/CD44/VEGFA/ARID1A/CDH1/NOTCH1/MAPK14/SMARCA4/SMARCA2/MTOR/PRKCD/TNF/RELA/RHOA/BMI1/TWSG1/AKT1/CAV1/TGFB1/PTK2/IL10/FOXA1/BRD2/BRD4/IGF1/CD9/SMARCE1/SOX2/GATA3/CD274/PAWR/IGF2,37
GO:0001667,BP,GO:0001667,ameboidal-type cell migration,37/269,498/18888,0.074297189,5.216822681,11.46274418,1.57E-16,1.35E-14,5.66E-15,TIMP1/THBS1/PTEN/FBXW7/GPX1/PTGS2/EDNRB/PIK3CA/PPARG/VEGFA/ID1/FGF2/NOTCH1/HIF1A/MTOR/HDAC6/TNF/RHOA/AKT1/MMP9/TGFBR1/TGFB1/PTK2/ILK/MIR200C/FN1/DAB2IP/SNAI1/KDR/SGPL1/TWIST1/MIR145/BRAF/SNAI2/GATA3/FGFR1/ROCK1,37
GO:0071900,BP,GO:0071900,regulation of protein serine/threonine kinase activity,28/269,267/18888,0.104868914,7.363435111,12.58708615,1.60E-16,1.35E-14,5.66E-15,THBS1/PTEN/ERBB2/CCND1/MAP3K7/IL1B/PPARG/VEGFA/GSTP1/FGF2/TENM1/TLR4/PRKCD/TNF/RHOA/EZH2/AKT1/CDK12/EGFR/HHEX/RB1/DAB2IP/HRAS/FGFR1/CDKN1A/CDKN2A/MST1R/MAP2K7,28
GO:0045859,BP,GO:0045859,regulation of protein kinase activity,36/269,470/18888,0.076595745,5.378217195,11.55325745,1.60E-16,1.35E-14,5.66E-15,THBS1/PTEN/ERBB2/FBXW7/CCND1/MAP3K7/IL1B/PPARG/VEGFA/GSTP1/FGF2/TENM1/TLR4/PRKCD/TNF/RHOA/EZH2/AKT1/CAV1/PTK2/CDK12/EGFR/TXN/HHEX/RB1/DAB2IP/IGF1/HSP90AA1/HRAS/FGFR1/CDKN1A/SFN/CDKN2A/MST1R/MAP2K7/CAMKK2,36
GO:0048661,BP,GO:0048661,positive regulation of smooth muscle cell proliferation,19/269,100/18888,0.19,13.34096654,14.87264985,2.06E-16,1.71E-14,7.17E-15,THBS1/IL6/PTGS2/MAP3K7/PIK3CA/IGF1R/FGF2/MYB/TLR4/TNF/AKT1/MMP9/TGFB1/MMP2/IL10/EGFR/IGF1/STAT1/MYD88,19
GO:0008630,BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,19/269,102/18888,0.18627451,13.07937896,14.70303488,3.05E-16,2.48E-14,1.04E-14,TP53/BRCA1/BRCA2/BID/KDM1A/CD44/SOD2/TNF/CHEK2/BAX/SNAI1/SNAI2/TP63/MUC1/MLH1/MSH2/CDKN1A/SFN/CLU,19
